# Метеостанция Харьков (аэропорт), Украина, WMO_ID=34300, выборка с 31.12.2015 по 01.01.2017, все дни;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Кодировка: UTF-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"# Информация предоставлена сайтом ""Расписание Погоды"", rp5.ua ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Обозначения метеопараметров см. по адресу http://rp5.ua/archive.php?wmo_id=34300&lang=ru;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Местное время в Харькове (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
01.01.2017 23:00;-2.0;744.5;759.1;-0.5;100;Ветер, дующий с юго-запада;4;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман или ледяной туман, неба не видно, без заметного изменения интенсивности в течение последнего часа. ;Морось.;Туман или ледяной туман или сильная мгла.;;;;;;;;0.5;-2.0;;;;;;
01.01.2017 20:00;-2.5;745.0;759.6;-0.1;98;Ветер, дующий с юго-запада;3;;;100%.;Морось замерзающая слабая.  Диаметр отложения при гололеде составляет 1 мм.;Морось.;Туман или ледяной туман или сильная мгла.;;-2.5;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;01.���;-2.8;Следы осадков;12;;;;
01.01.2017 17:00;-3.3;745.1;759.8;-0.4;99;Ветер, дующий с юго-запада;2;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Морось замерзающая слабая. ;Морось.;Туман или ледяной туман или сильная мгла.;;;;;;;;0.7;-3.4;;;;;;
01.01.2017 14:00;-3.8;745.5;760.2;-0.7;96;Ветер, дующий с западо-юго-запада;3;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;02.���;-4.3;;;;;;
01.01.2017 11:00;-4.1;746.2;760.9;-0.5;96;Ветер, дующий с западо-юго-запада;3;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;02.���;-4.6;;;;;;
01.01.2017 8:00;-5.4;746.7;761.5;-0.2;98;Ветер, дующий с юго-запада;3;;;100%.;Дымка. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;-6.0;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;02.���;-5.7;Следы осадков;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;9.0
01.01.2017 5:00;-4.6;746.9;761.7;-1.5;100;Ветер, дующий с юго-юго-запада;3;;;Небо не видно из-за тумана и/или других метеорологических явлений.;Туман с отложением изморози, неба не видно. ;Туман или ледяной туман или сильная мгла.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;;;;;;0.8;-4.6;;;;;;
01.01.2017 2:00;-4.8;748.4;763.3;-1.2;98;Ветер, дующий с юго-запада;3;;;100%.;Дымка. ;Снег и/или другие виды твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;01.���;-5.1;Следы осадков;6;;;;
31.12.2016 23:00;-4.8;749.6;764.5;-1.1;96;Ветер, дующий с западо-юго-запада;3;;;100%.;Морось (незамерзающая) или снежные зерна неливневые. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;100-200;;;02.���;-5.4;;;;;;
31.12.2016 20:00;-6.0;750.7;765.7;-0.7;92;Ветер, дующий с юго-запада;3;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;-3.5;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;100-200;;;5.0;-7.1;;;;;;
31.12.2016 17:00;-4.6;751.4;766.3;-1.2;89;Ветер, дующий с юго-юго-запада;3;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;200-300;;;4.0;-6.2;;;;;;
31.12.2016 14:00;-3.8;752.6;767.5;-2.1;87;Ветер, дующий с юго-юго-запада;3;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;200-300;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-5.6;;;;;;
31.12.2016 11:00;-6.2;754.7;769.8;-1.6;94;Ветер, дующий с юго-юго-запада;3;;;100%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;300-600;;;4.0;-7.0;;;;;;
31.12.2016 8:00;-9.4;756.3;771.6;-0.4;95;Ветер, дующий с юго-юго-запада;3;;;50%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;-9.4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;-10.1;;;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;9.0
31.12.2016 5:00;-7.8;756.7;772.0;-1.3;96;Ветер, дующий с запада;2;;;70 – 80%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;70 – 80%.;100-200;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4.0;-8.4;;;;;;
31.12.2016 2:00;-7.4;758.0;773.2;-1.4;93;Ветер, дующий с юго-запада;1;;;20–30%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;4.0;-8.3;;;;;;
30.12.2016 23:00;-7.0;759.4;774.6;-0.4;91;Ветер, дующий с западо-юго-запада;2;;;70 – 80%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;-8.3;;;;;;
30.12.2016 20:00;-6.6;759.8;775.0;0.1;94;Ветер, дующий с западо-юго-запада;2;;;20–30%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;-0.5;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;02.���;-7.4;;;;;;
30.12.2016 17:00;-4.7;759.7;774.7;-0.6;86;Штиль, безветрие;0;;;20–30%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-6.7;;;;;;
30.12.2016 14:00;-2.2;760.3;775.3;-0.6;77;Ветер, дующий с севера;4;;;60%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10.0;-5.8;;;;;;
30.12.2016 11:00;-2.0;760.9;775.8;0.2;88;Ветер, дующий с северо-запада;2;;;50%.;Дымка. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;4.0;-3.8;;;;;;
30.12.2016 8:00;-1.5;760.7;775.6;0.4;90;Ветер, дующий с северо-северо-запада;2;;;90  или более, но не 100%;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;-1.5;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;4.0;-2.9;;;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;9.0
30.12.2016 5:00;-1.1;760.3;775.2;0.0;91;Ветер, дующий с севера;3;;;100%.;Дымка. ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;4.0;-2.4;;;;;;
30.12.2016 2:00;-0.7;760.3;775.2;0.4;91;Ветер, дующий с севера;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;200-300;;;10.0;-2.0;;;;;;
29.12.2016 23:00;-0.6;759.9;774.7;01.���;92;Ветер, дующий с севера;5;;;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;200-300;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10.0;-1.8;;;;;;
29.12.2016 20:00;-0.3;758.7;773.5;01.���;90;Ветер, дующий с севера;5;;;100%.; ;;;;0.8;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;200-300;;;10.0;-1.8;Следы осадков;12;;;;
29.12.2016 17:00;0.1;757.3;772.1;01.���;84;Ветер, дующий с севера;5;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;10.0;-2.3;;;;;;
29.12.2016 14:00;0.8;756.0;770.7;01.���;85;Ветер, дующий с севера;5;;;100%.;Состояние неба в общем не изменилось. ;Дождь со снегом или другими видами твердых осадков;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;10.0;-1.5;Следы осадков;6;;;;
29.12.2016 11:00;-0.2;754.6;769.3;01.���;90;Ветер, дующий с севера;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;200-300;;;10.0;-1.7;;;;;;
29.12.2016 8:00;-0.1;753.4;768.1;02.���;82;Ветер, дующий с северо-запада;3;;;100%.; ;;;-0.1;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;10.0;-2.8;Следы осадков;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;10.0
29.12.2016 5:00;0.1;751.3;766.0;01.���;84;Ветер, дующий с северо-запада;4;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;10.0;-2.3;;;;;;
29.12.2016 2:00;0.6;749.8;764.4;01.���;94;Ветер, дующий с западо-северо-запада;2;;;100%.;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10.0;-0.2;Следы осадков;6;;;;
